CodingHours,CoffeeCupsPerDay,CoffeeTime,CodingWithoutCoffee,CoffeeType,CoffeeSolveBugs,Gender,Country,AgeRange,Type,When
6,1,In the morning,Yes,Nescafe,No,Female,Lebanon,30,3,4
4,2,While coding,No,Nescafe,Yes,Female,Lebanon,18,3,2
8,2,While coding,Sometimes,Nescafe,Sometimes,Male,Lebanon,30,3,2
9,3,While coding,Sometimes,Nescafe,Sometimes,Female,Lebanon,18,3,2
2,1,While coding,Yes,Nescafe,No,Male,Lebanon,18,3,2
6,3,While coding,Yes,Nescafe,Yes,Female,Lebanon,18,3,2
3,1,While coding,Sometimes,Nescafe,Sometimes,Male,Lebanon,18,3,2
5,2,Before coding,Sometimes,Nescafe,Yes,Female,Lebanon,18,3,1
3,1,Before coding,Yes,Nescafe,No,Female,Lebanon,18,3,1
4,2,While coding,Yes,Nescafe,Sometimes,Male,Lebanon,18,3,2
6,2,Before coding,Yes,Nescafe,Yes,Male,Lebanon,18,3,1
4,1,Before coding,Sometimes,Nescafe,Sometimes,Female,Lebanon,18,3,1
5,3,While coding,No,Nescafe,Yes,Female,Lebanon,18,3,2
8,2,Before coding,No,Nescafe,Yes,Male,Lebanon,0,3,1
8,2,While coding,Sometimes,Nescafe,Yes,Male,Lebanon,30,3,2
5,2,While coding,Yes,Nescafe,Sometimes,Male,Lebanon,0,3,2
10,4,Before coding,Sometimes,Turkish,Sometimes,Male,Lebanon,18,4,1
2,3,Before coding,Sometimes,Turkish,Yes,Male,Lebanon,30,4,1
6,4,While coding,Yes,Turkish,Sometimes,Male,Lebanon,30,4,2
8,4,While coding,Sometimes,Turkish,Yes,Male,Lebanon,30,4,2
8,3,While coding,No,Turkish,No,Male,Lebanon,40,4,2
8,4,Before and while coding,No,Turkish,Yes,Male,Lebanon,18,4,1
8,4,Before and while coding,Sometimes,Turkish,Sometimes,Male,Lebanon,30,4,1
5,3,While coding,Sometimes,Turkish,Sometimes,Female,Lebanon,18,4,2
2,3,All the time,Sometimes,Turkish,Sometimes,Male,Lebanon,30,4,3
7,7,After coding,Yes,Turkish,Yes,Female,Lebanon,40,4,5
4,2,While coding,Yes,Turkish,No,Male,Lebanon,50 ,4,2
8,2,While coding,Sometimes,Turkish,No,Male,Lebanon,30,4,2
8,4,While coding,Sometimes,Turkish,Yes,Male,Lebanon,30,4,2
3,3,While coding,No,Turkish,No,Male,Lebanon,18,4,2
10,8,While coding,No,Turkish,Sometimes,Male,Lebanon,18,4,2
8,2,While coding,Sometimes,Turkish,No,Male,Lebanon,18,4,2
8,2,While coding,Sometimes,Turkish,Sometimes,Male,Lebanon,18,4,2
7,4,Before coding,No,Turkish,Yes,Male,Lebanon,18,4,1
10,3,While coding,Sometimes,Turkish,No,Male,Lebanon,18,4,2
2,4,While coding,Sometimes,Cappuccino,Sometimes,Male,Lebanon,40,5,2
7,4,No specific time,Yes,Cappuccino,Sometimes,Male,Lebanon,18,5,6
1,1,While coding,Yes,Cappuccino,Yes,Male,Lebanon,40,5,2
6,6,While coding,Sometimes,Cappuccino,No,Male,Lebanon,18,5,2
7,1,Before coding,Sometimes,Cappuccino,Sometimes,Male,Lebanon,18,5,1
10,3,Before coding,Yes,Cappuccino,Yes,Male,Lebanon,10,5,1
5,3,While coding,Sometimes,Cappuccino,Sometimes,Male,Lebanon,10,5,2
10,6,While coding,Sometimes,NA,No,Male,Lebanon,18,7,2
10,6,While coding,Sometimes,Double Espresso (Doppio),No,Male,Lebanon,30,6,2
6,4,While coding,Sometimes,Espresso (Short Black),Yes,Male,Lebanon,18,6,2
2,2,While coding,Sometimes,Espresso (Short Black),Sometimes,Female,Lebanon,18,6,2
10,4,Before coding,Sometimes,Double Espresso (Doppio),Sometimes,Male,Lebanon,18,6,1
7,4,Before coding,Sometimes,Espresso (Short Black),No,Male,Lebanon,30,6,1
6,2,While coding,Sometimes,Espresso (Short Black),Sometimes,Male,Lebanon,18,6,2
3,3,While coding,Yes,Espresso (Short Black),Sometimes,Male,Lebanon,18,6,2
4,7,Before and while coding,No,Double Espresso (Doppio),Sometimes,Male,Lebanon,18,6,1
6,4,While coding,Sometimes,Espresso (Short Black),Sometimes,Male,Lebanon,18,6,2
3,2,After coding,Yes,Espresso (Short Black),Sometimes,Male,Lebanon,40,6,6
9,7,All the time,No,Espresso (Short Black),Yes,Male,Lebanon,18,6,3
